year,title,user_rating,language_code
2015,Bãhubali: The Beginning,8,te
,Bajrangi Bhaijaan,8.1,hi
,Drishyam,8.4,hi
,Bajirao Mastani,7.3,hi
,Baby,7.1,hi
2016,Dangal,8.3,hi
,Sultan,7.1,hi
,Fan,6.8,hi
,Sanam Teri Kasam,7.6,hi
,M.S. Dhoni,8,hi
2017,Bãhubali 2: The Conclusion,8.2,te
,Raees,6.6,hi
,Shaadi Mein Zaroor Aana,7.5,hi
,Arjun Reddy,7.9,te
,Mersal,7.5,ta
2018,K.G.F: Chapter 1,8.2,kn
,Sanju,7.6,hi
,Padmaavat,7.1,hi
,Tumbbad,8.2,hi
,Andhadhun,8.2,hi
2019,Uri,8.2,hi
,Kabir Singh,7,hi
,War,6.6,hi
,Gully Boy,7.9,hi
,Super 30,7.9,hi
2020,Dil Bechara,8.3,hi
,Ala Vaikunthapurramuloo,7.3,te
,Soorarai Pottru,8.6,ta
,Tanhaji,7.5,hi
,Ludo,7.6,hi
2021,Pushpa: The Rise - Part 1,7.6,te
,Jai Bhim,8.6,ta
,Shershaah,8.3,hi
,Master,7.4,ta
,83,7.5,hi
2022,K.G.F: Chapter 2,8.2,kn
,RRR (Rise Roar Revolt),7.8,te
,The Kashmir Files,8.5,hi
,Kantara,8.2,kn
,Vikram,8.3,ta
2023,Animal,6.1,hi
,Jawan,6.9,hi
,12th Fail,8.7,hi
,Salaar: Part 1 - Ceasefire,6.6,te
,Leo,7.2,ta
2024,Pushpa: The Rule - Part 2,6.1,te
,Kalki 2898-AD,7,te
,Stree 2,6.9,hi
,Fighter,6.2,hi
,Maharaja,8.4,ta
2025,Saiyaara,7.1,hi
,Chhaava,7.3,hi
,Mahavatar Narsimha,9.1,hi/ta/te/ml/kn
,Dragon,7.9,ta
,Coolie,6.4,ta
